Score	Time	Result
50	60	1
50	59	1
50	58	1
50	57	1
50	56	1
50	55	1
50	54	1
50	53	1
50	52	1
50	51	1
50	50	1
50	49	1
50	48	1
50	47	1
50	46	1
50	45	1
50	44	1
50	43	1
50	42	1
50	41	1
50	40	2
50	39	2
50	38	2
50	37	2
50	36	2
50	35	2
50	34	2
50	33	2
50	32	2
50	31	2
50	30	2
50	29	2
50	28	2
50	27	2
50	26	2
50	25	2
50	24	2
51	60	1
51	59	1
51	58	1
51	57	1
51	56	1
51	55	1
51	54	1
51	53	1
51	52	1
51	51	1
51	50	1
51	49	1
51	48	1
51	47	1
51	46	1
51	45	1
51	44	1
51	43	1
51	42	1
51	41	1
51	40	2
51	39	2
51	38	2
51	37	2
51	36	2
51	35	2
51	34	2
51	33	2
51	32	2
51	31	2
51	30	2
51	29	2
51	28	2
51	27	2
51	26	2
51	25	2
51	24	2
52	60	1
52	59	1
52	58	1
52	57	1
52	56	1
52	55	1
52	54	1
52	53	1
52	52	1
52	51	1
52	50	1
52	49	1
52	48	1
52	47	1
52	46	1
52	45	1
52	44	1
52	43	1
52	42	1
52	41	1
52	40	2
52	39	2
52	38	2
52	37	2
52	36	2
52	35	2
52	34	2
52	33	2
52	32	2
52	31	2
52	30	2
52	29	2
52	28	2
52	27	2
52	26	2
52	25	2
52	24	2
53	60	1
53	59	1
53	58	1
53	57	1
53	56	1
53	55	1
53	54	1
53	53	1
53	52	1
53	51	1
53	50	1
53	49	1
53	48	1
53	47	1
53	46	1
53	45	1
53	44	1
53	43	1
53	42	1
53	41	1
53	40	2
53	39	2
53	38	2
53	37	2
53	36	2
53	35	2
53	34	2
53	33	2
53	32	2
53	31	2
53	30	2
53	29	2
53	28	2
53	27	2
53	26	2
53	25	2
53	24	2
54	60	1
54	59	1
54	58	1
54	57	1
54	56	1
54	55	1
54	54	1
54	53	1
54	52	1
54	51	1
54	50	1
54	49	1
54	48	1
54	47	1
54	46	1
54	45	1
54	44	1
54	43	1
54	42	1
54	41	1
54	40	2
54	39	2
54	38	2
54	37	2
54	36	2
54	35	2
54	34	2
54	33	2
54	32	2
54	31	2
54	30	2
54	29	2
54	28	2
54	27	2
54	26	2
54	25	2
54	24	2
55	60	1
55	59	1
55	58	1
55	57	1
55	56	1
55	55	1
55	54	1
55	53	1
55	52	1
55	51	1
55	50	1
55	49	1
55	48	1
55	47	1
55	46	1
55	45	1
55	44	1
55	43	1
55	42	1
55	41	1
55	40	2
55	39	2
55	38	2
55	37	2
55	36	2
55	35	2
55	34	2
55	33	2
55	32	2
55	31	2
55	30	2
55	29	2
55	28	2
55	27	2
55	26	2
55	25	2
55	24	2
56	60	1
56	59	1
56	58	1
56	57	1
56	56	1
56	55	1
56	54	1
56	53	1
56	52	1
56	51	1
56	50	1
56	49	1
56	48	1
56	47	1
56	46	1
56	45	1
56	44	1
56	43	1
56	42	1
56	41	1
56	40	2
56	39	2
56	38	2
56	37	2
56	36	2
56	35	2
56	34	2
56	33	2
56	32	2
56	31	2
56	30	2
56	29	2
56	28	2
56	27	2
56	26	2
56	25	2
56	24	2
57	60	1
57	59	1
57	58	1
57	57	1
57	56	1
57	55	1
57	54	1
57	53	1
57	52	1
57	51	1
57	50	1
57	49	1
57	48	1
57	47	1
57	46	1
57	45	1
57	44	1
57	43	1
57	42	1
57	41	1
57	40	2
57	39	2
57	38	2
57	37	2
57	36	2
57	35	2
57	34	2
57	33	2
57	32	2
57	31	2
57	30	2
57	29	2
57	28	2
57	27	2
57	26	2
57	25	2
57	24	2
58	60	1
58	59	1
58	58	1
58	57	1
58	56	1
58	55	1
58	54	1
58	53	1
58	52	1
58	51	1
58	50	1
58	49	1
58	48	1
58	47	1
58	46	1
58	45	1
58	44	1
58	43	1
58	42	1
58	41	1
58	40	2
58	39	2
58	38	2
58	37	2
58	36	2
58	35	2
58	34	2
58	33	2
58	32	2
58	31	2
58	30	2
58	29	2
58	28	2
58	27	2
58	26	2
58	25	2
58	24	2
59	60	1
59	59	1
59	58	1
59	57	1
59	56	1
59	55	1
59	54	1
59	53	1
59	52	1
59	51	1
59	50	1
59	49	1
59	48	1
59	47	1
59	46	1
59	45	1
59	44	1
59	43	1
59	42	1
59	41	1
59	40	2
59	39	2
59	38	2
59	37	2
59	36	2
59	35	2
59	34	2
59	33	2
59	32	2
59	31	2
59	30	2
59	29	2
59	28	2
59	27	2
59	26	2
59	25	2
59	24	2
60	60	1
60	59	1
60	58	1
60	57	1
60	56	1
60	55	1
60	54	1
60	53	1
60	52	1
60	51	1
60	50	1
60	49	1
60	48	1
60	47	1
60	46	1
60	45	2
60	44	2
60	43	2
60	42	2
60	41	2
60	40	2
60	39	2
60	38	2
60	37	2
60	36	2
60	35	3
60	34	3
60	33	3
60	32	3
60	31	3
60	30	3
60	29	3
60	28	3
60	27	3
60	26	3
60	25	4
60	24	4
61	60	1
61	59	1
61	58	1
61	57	1
61	56	1
61	55	1
61	54	1
61	53	1
61	52	1
61	51	1
61	50	1
61	49	1
61	48	1
61	47	1
61	46	1
61	45	2
61	44	2
61	43	2
61	42	2
61	41	2
61	40	2
61	39	2
61	38	2
61	37	2
61	36	2
61	35	3
61	34	3
61	33	3
61	32	3
61	31	3
61	30	3
61	29	3
61	28	3
61	27	3
61	26	3
61	25	4
61	24	4
62	60	1
62	59	1
62	58	1
62	57	1
62	56	1
62	55	1
62	54	1
62	53	1
62	52	1
62	51	1
62	50	1
62	49	1
62	48	1
62	47	1
62	46	1
62	45	2
62	44	2
62	43	2
62	42	2
62	41	2
62	40	2
62	39	2
62	38	2
62	37	2
62	36	2
62	35	3
62	34	3
62	33	3
62	32	3
62	31	3
62	30	3
62	29	3
62	28	3
62	27	3
62	26	3
62	25	4
62	24	4
63	60	1
63	59	1
63	58	1
63	57	1
63	56	1
63	55	1
63	54	1
63	53	1
63	52	1
63	51	1
63	50	1
63	49	1
63	48	1
63	47	1
63	46	1
63	45	2
63	44	2
63	43	2
63	42	2
63	41	2
63	40	2
63	39	2
63	38	2
63	37	2
63	36	2
63	35	3
63	34	3
63	33	3
63	32	3
63	31	3
63	30	3
63	29	3
63	28	3
63	27	3
63	26	3
63	25	4
63	24	4
64	60	1
64	59	1
64	58	1
64	57	1
64	56	1
64	55	1
64	54	1
64	53	1
64	52	1
64	51	1
64	50	1
64	49	1
64	48	1
64	47	1
64	46	1
64	45	2
64	44	2
64	43	2
64	42	2
64	41	2
64	40	2
64	39	2
64	38	2
64	37	2
64	36	2
64	35	3
64	34	3
64	33	3
64	32	3
64	31	3
64	30	3
64	29	3
64	28	3
64	27	3
64	26	3
64	25	4
64	24	4
65	60	1
65	59	1
65	58	1
65	57	1
65	56	1
65	55	1
65	54	1
65	53	1
65	52	1
65	51	1
65	50	1
65	49	1
65	48	1
65	47	1
65	46	1
65	45	2
65	44	2
65	43	2
65	42	2
65	41	2
65	40	2
65	39	2
65	38	2
65	37	2
65	36	2
65	35	3
65	34	3
65	33	3
65	32	3
65	31	3
65	30	3
65	29	3
65	28	3
65	27	3
65	26	3
65	25	4
65	24	4
66	60	1
66	59	1
