ID,Score,Time,result
1,84,43,B
2,87,52,B
3,79,34,B+
4,87,37,A-
5,94,57,B+
6,66,27,B-
7,50,33,C-
8,51,35,C-
9,80,28,A-
10,81,24,A-
11,78,26,B+
12,75,49,C+
13,99,44,A-
14,87,56,B
15,59,26,C
16,76,51,C+
17,54,25,C-
18,76,26,B+
19,80,34,A-
20,55,42,D+
21,98,24,A+
22,88,33,A
23,85,37,A-
24,57,44,D+
25,61,55,D+
26,58,32,C
27,64,45,C-
28,67,28,B-
29,98,24,A+
30,75,59,C+
31,68,33,B-
32,93,32,A+
33,73,34,B
34,85,36,A-
35,78,25,B+
36,51,30,C-
37,53,54,D-
38,87,27,A
39,89,44,B+
40,88,56,B
41,79,32,B+
42,79,30,B+
43,90,29,A
44,65,33,B-
45,54,41,D
46,80,25,A-
47,85,42,B+
48,88,50,B
49,70,53,C
50,69,45,C
51,99,47,B+
52,77,35,B+
53,78,26,B+
54,50,27,C-
55,58,49,D
56,85,42,B+
57,54,60,D-
58,100,45,A-
59,51,49,D-
60,65,60,C-
61,73,26,B
62,57,53,D
63,96,39,A
64,65,51,C-
65,50,30,C-
66,69,45,C
67,79,50,C+
68,81,40,B+
69,59,27,C
70,100,42,A-
71,87,38,A-
72,50,40,D
73,85,54,B
74,69,51,C-
75,74,58,C
76,77,40,B
77,90,59,B
78,90,33,A
79,90,40,A-
80,92,58,B
81,82,47,B-
82,72,56,C
83,55,31,C
84,92,38,A-
85,84,47,B-
86,63,30,C+
87,55,51,D
88,77,41,B-
89,69,45,C
90,85,38,A-
91,60,37,C
92,67,45,C
93,52,60,D-
94,63,25,C+
95,80,31,A-
96,98,25,A+
97,55,30,C
98,94,54,B+
99,64,49,D+
100,75,42,B-
101,93,28,A+
102,65,45,C
103,73,31,B
104,94,57,B+
105,85,53,B
106,65,57,C-
107,52,53,D-
108,56,34,C
109,66,48,C-
110,66,24,B-
111,54,53,D-
112,82,46,B-
113,70,38,B-
114,95,48,B+
115,91,50,B
116,67,27,B-
117,54,36,D
118,81,46,B-
119,53,26,C-
120,89,53,B
121,56,60,D
122,77,56,C+
123,81,45,B
124,68,51,C-
125,57,58,D
126,73,38,B-
127,93,47,B+
128,50,52,D-
129,56,58,D
130,51,42,D
131,97,49,B+
132,99,42,A-
133,78,33,B+
134,85,57,B
135,79,49,C+
136,98,57,B+
137,91,34,A
138,82,41,B
139,54,46,D-
140,57,46,D
141,94,25,A+
142,99,30,A+
143,85,24,A
144,93,44,A-
145,63,60,D+
146,75,26,B+
147,76,33,B+
148,65,46,C-
149,85,46,B
150,91,39,A-
151,93,35,A+
152,82,25,A-
153,62,28,C+
154,88,47,B
155,60,47,D+
156,59,50,D
157,61,51,D+
158,82,55,B-
159,86,56,B
160,96,40,A
161,73,33,B
162,62,49,D+
163,80,46,B-
164,86,43,B+
165,82,47,B-
166,64,57,D+
167,58,35,C
168,51,40,D
169,88,37,A-
170,73,52,C
171,92,24,A
172,79,47,C+
173,90,55,B
174,65,28,B-
175,58,39,D+
176,81,27,A-
177,53,58,D-
178,82,52,B-
179,50,29,C-
180,89,27,A
181,53,31,C-
182,52,40,D
183,67,44,C
184,50,59,D-
185,67,36,C+
186,52,24,C-
187,89,55,B
188,65,43,C
189,66,26,B-
190,84,30,A-
191,79,47,C+
192,91,51,B
193,78,57,C+
194,93,59,B+
195,88,30,A
196,79,29,B+
197,88,24,A
198,82,52,B-
199,78,35,B+
200,55,49,D
201,72,42,C+
202,76,33,B+
203,58,53,D
204,57,30,C
205,61,43,C-
206,98,45,A-
207,76,54,C+
208,99,54,B+
209,80,25,A-
210,56,37,D+
211,65,48,C-
212,50,39,D
213,66,27,B-
214,83,48,B-
215,73,42,C+
216,65,29,B-
217,73,55,C
218,97,27,A+
219,53,39,D
220,60,34,C+
221,74,51,C
222,86,52,B
223,71,36,B-
224,90,33,A
225,86,44,B+
226,71,55,C
227,73,39,B-
228,90,32,A
229,81,47,B-
230,72,25,B
231,79,40,B
232,57,57,D
233,54,28,C-
234,85,38,A-
235,82,36,B+
236,51,37,D
237,68,36,C+
238,86,31,A
239,86,32,A
240,78,54,C+
241,63,42,C-
242,66,55,C-
243,89,24,A
244,84,51,B-
245,60,35,C+
246,100,33,A+
247,95,52,B+
248,70,26,B
249,79,55,C+
250,86,57,B
251,65,44,C
252,69,55,C-
253,62,37,C
254,68,24,B-
255,67,26,B-
256,69,31,B-
257,78,55,C+
258,81,32,A-
259,70,28,B
260,71,54,C
261,68,34,B-
262,68,29,B-
263,95,43,A-
264,51,24,C-
265,71,55,C
266,52,34,C-
267,53,35,C-
268,74,33,B
269,70,48,C
270,97,42,A-
271,87,30,A
272,79,60,C+
273,78,33,B+
274,87,25,A
275,84,48,B-
276,89,36,A-
277,88,48,B
278,81,49,B-
279,73,50,C
280,56,40,D+
281,61,58,D+
282,73,51,C
283,99,43,A-
284,85,32,A
285,83,28,A-
286,94,58,B+
287,88,38,A-
288,64,25,C+
289,64,37,C
290,89,43,B+
291,92,25,A
292,68,35,B-
293,83,55,B-
294,67,41,C
295,65,51,C-
296,68,35,B-
297,61,45,C-
298,80,51,B-
